,problem ticker,ipo_date
324,IOTR,nan
325,MB,nan
326,FATN,nan
327,RYET,nan
328,AACB,nan
329,BLIV,nan
330,ATII,nan
331,LHSW,nan
332,SMA,nan
333,SORA,nan
334,ENGS,nan
335,WTF,nan
336,WXM,nan
337,NMAX,nan
338,CRWV,nan
339,NCT,nan
340,WFF,nan
341,EPSM,nan
342,NTHI,nan
343,LGPS,nan
344,SVCC,nan
345,BIYA,nan
346,RCT,nan
347,COLA,nan
348,KFII,nan
349,MWYN,nan
350,EHLD,nan
351,MAYA,nan
352,MCRP,nan
353,RIBB,nan
354,SAGT,nan
355,ADVB,nan
356,JFB,nan
357,KMTS,nan
358,TBH,nan
359,PN,nan
360,LUD,nan
361,LZMH,nan
362,WETO,nan
363,BMGL,nan
364,STAK,nan
365,DMAA,nan
366,WGRX,nan
367,RHLD,nan
368,VRM,nan
369,NNNN,nan
370,NPB,nan
371,AARD,nan
372,KRMN,nan
373,SAIL,nan
374,SNDK,nan
375,TDAC,nan
376,XHLD,nan
377,AGH,nan
378,FGMC,nan
379,SION,nan
380,TTAM,nan
381,EPWK,nan
382,FBGL,nan
383,HVII,nan
384,CJMB,nan
385,HCAI,nan
386,HSPT,nan
387,MRP,nan
388,PLUT,nan
389,DRDB,nan
390,MLAC,nan
391,INR,nan
392,MAZE,nan
393,MTSR,nan
394,PLMK,nan
395,BBNX,nan
396,CSAI,nan
397,JACS,nan
398,PGAC,nan
399,SFD,nan
400,TWNP,nan
401,AAPG,nan
402,VG,nan
403,SKBL,nan
404,DGNX,nan
405,DXST,nan
406,MCTR,nan
407,TOPP,nan
408,FLOC,nan
409,NOEM,nan
410,PCLA,nan
411,HKPD,nan
412,UFG,nan
413,RANG,nan
414,MIMI,nan
415,MASK,nan
416,CEPO,nan
417,ZYBT,nan
418,ASPC,nan
419,INLF,nan
420,RAIN,nan
421,ONEG,nan
422,WLAC,nan
423,NTWO,nan
424,PHH,nan
425,HIT,nan
426,FACT,nan
427,TAVI,nan
428,YAAS,nan
429,GSRT,nan
430,LSE,nan
431,NCEW,nan
432,YSXT,nan
433,BEAG,nan
434,OACC,nan
435,ALDF,nan
436,AVR,nan
437,NTCL,nan
438,TTAN,nan
439,ETHM,nan
440,NAMI,nan
441,LNKS,nan
442,RADX,nan
443,ZSPC,nan
444,JUNS,nan
445,KYIV,nan
446,BACQ,nan
447,RDAC,nan
448,LPBB,nan
449,BRIA,nan
450,GRO,nan
451,PONY,nan
452,VENU,nan
453,CGTL,nan
454,CHAR,nan
455,WYHG,nan
456,CASK,nan
457,MSW,nan
458,TLX,nan
459,EXOZ,nan
460,YHNA,nan
461,ADUR,nan
462,FVN,nan
463,GELS,nan
464,PLRZ,nan
465,ECG,nan
466,POLE,nan
467,VCIC,nan
468,SEPN,nan
469,WRD,nan
470,CAPN,nan
471,INGM,nan
472,FBLA,nan
473,FGL,nan
474,INEO,nan
475,LBGJ,nan
476,ROLR,nan
477,HUHU,nan
478,ORIS,nan
479,SPHL,nan
480,PTLE,nan
481,SFHG,nan
482,CAMP,nan
483,CBLL,nan
484,STFS,nan
485,UPB,nan
486,HOND,nan
487,SKYQ,nan
488,CLIK,nan
489,KLC,nan
490,SKK,nan
491,SBXD,nan
492,CBNA,nan
493,FLX,nan
494,SOBO,nan
495,FVR,nan
496,SARO,nan
497,WCT,nan
498,HTLM,nan
499,ZENA,nan
500,ZJK,nan
501,VACH,nan
502,EQV,nan
503,BIOA,nan
504,BKV,nan
505,CURB,nan
506,GRDN,nan
507,IBG,nan
508,LGCY,nan
509,PC,nan
510,AMTM,nan
511,MBAV,nan
512,GLE,nan
513,AAM,nan
514,DTSQ,nan
515,HCWC,nan
516,IBO,nan
517,KAPA,nan
518,BCAX,nan
519,MBX,nan
520,ZBIO,nan
521,EURK,nan
522,GLXG,nan
523,GIG,nan
524,TDTH,nan
525,XCH,nan
526,PMAX,nan
527,PTHL,nan
528,LPAA,nan
529,SIMA,nan
530,AZI,nan
531,SPAI,nan
532,JBDI,nan
533,RITR,nan
534,WOK,nan
535,GRAF,nan
536,YXT,nan
537,FSHP,nan
538,ACTU,nan
539,CEP,nan
540,CUB,nan
541,ALF,nan
542,FDSB,nan
543,OSTX,nan
544,PLBL,nan
545,PLBL,nan
546,SEG,nan
547,NIPG,nan
548,CON,nan
549,LINE,nan
550,ORKT,nan
551,BLMZ,nan
552,NVA,nan
553,OS,nan
554,ZDAI,nan
555,HBNB,nan
556,MDCX,nan
557,TIC,nan
558,AAUC,nan
